Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,Duration,CallStartHour,CallStartMinute,CallStartSecond
CI1,48.0,1.0,1.0,1.0,0,1.0,0,0,0,5,5,3,-1,0,-1,15:10:12,15:21:21,0,669.0,15,10,12
CI2,32.0,1.0,1.0,0.0,0,0.0,1,0,2,11,5,3,-1,0,-1,15:46:58,15:49:08,0,130.0,15,46,58
CI3,56.0,9.0,1.0,1.0,0,2558.0,0,0,0,19,6,1,-1,0,-1,10:42:27,10:47:15,0,288.0,10,42,27
CI4,46.0,4.0,1.0,2.0,0,0.0,0,0,2,3,3,13,-1,0,-1,09:33:25,09:38:30,1,305.0,9,33,25
CI5,37.0,1.0,1.0,1.0,0,489.0,1,0,0,2,6,1,-1,0,-1,12:55:03,12:55:27,0,24.0,12,55,3
CI6,28.0,0.0,2.0,1.0,0,2.0,1,0,2,24,7,1,-1,0,-1,12:18:30,12:26:04,1,454.0,12,18,30
CI7,50.0,9.0,0.0,2.0,0,1679.0,1,0,2,24,7,2,-1,0,-1,12:50:19,13:00:23,0,604.0,12,50,19
CI8,36.0,6.0,2.0,1.0,0,74.0,1,1,2,12,5,2,-1,0,-1,09:49:13,09:52:31,0,198.0,9,49,13
CI9,45.0,1.0,1.0,0.0,0,1291.0,1,0,2,28,8,17,-1,0,-1,09:52:21,09:55:30,0,189.0,9,52,21
CI10,36.0,9.0,2.0,1.0,0,12264.0,0,0,2,12,4,2,-1,0,-1,09:01:53,09:04:31,1,158.0,9,1,53
CI11,34.0,1.0,2.0,1.0,0,96.0,1,0,0,27,5,2,-1,0,-1,10:18:26,10:20:59,0,153.0,10,18,26
CI12,63.0,4.0,1.0,1.0,0,2352.0,0,0,1,4,5,7,-1,0,-1,10:35:43,10:43:38,1,475.0,10,35,43
CI13,33.0,1.0,1.0,1.0,0,1221.0,1,0,2,7,5,6,-1,0,-1,13:56:42,13:58:49,0,127.0,13,56,42
CI14,30.0,4.0,2.0,1.0,0,2143.0,1,1,2,18,8,10,-1,0,-1,13:09:57,13:18:31,0,514.0,13,9,57
CI15,32.0,0.0,1.0,1.0,0,0.0,1,0,2,30,4,2,-1,0,-1,13:10:31,13:13:28,1,177.0,13,10,31
CI16,65.0,5.0,1.0,2.0,0,2416.0,0,0,2,17,2,2,-1,0,-1,17:01:56,17:05:37,1,221.0,17,1,56
CI17,31.0,9.0,2.0,2.0,0,208.0,0,0,2,12,8,7,-1,0,-1,13:06:20,13:28:44,1,1344.0,13,6,20
CI18,77.0,5.0,1.0,0.0,0,3324.0,0,0,2,13,5,1,91,5,1,09:33:30,09:38:19,1,289.0,9,33,30
CI19,56.0,5.0,1.0,2.0,0,281.0,0,0,2,3,3,2,-1,0,-1,17:26:47,17:28:23,1,96.0,17,26,47
CI20,37.0,4.0,1.0,2.0,0,8564.0,1,0,2,5,5,2,347,1,0,15:26:06,15:29:37,0,211.0,15,26,6
CI21,71.0,5.0,1.0,2.0,0,653.0,0,0,1,3,9,1,189,1,1,13:40:00,13:47:51,1,471.0,13,40,0
CI22,33.0,0.0,1.0,1.0,0,543.0,1,0,2,7,5,2,-1,0,-1,12:58:22,13:02:26,0,244.0,12,58,22
CI23,57.0,9.0,0.0,2.0,0,126.0,0,0,1,4,6,2,-1,0,-1,14:31:44,14:34:30,1,166.0,14,31,44
CI24,37.0,9.0,1.0,2.0,0,122.0,0,0,2,25,6,2,318,3,2,11:56:42,12:01:08,1,266.0,11,56,42
CI25,43.0,9.0,1.0,0.0,0,4844.0,1,0,2,19,11,1,-1,0,-1,13:43:30,13:50:44,0,434.0,13,43,30
CI26,55.0,4.0,1.0,2.0,0,2366.0,1,1,2,30,7,4,-1,0,-1,12:00:06,12:01:40,0,94.0,12,0,6
CI27,49.0,1.0,1.0,0.0,0,157.0,1,0,2,7,7,3,-1,0,-1,16:37:35,16:45:46,1,491.0,16,37,35
CI28,36.0,1.0,0.0,0.0,0,666.0,1,0,2,11,5,1,-1,0,-1,11:25:57,11:30:42,0,285.0,11,25,57
CI29,36.0,7.0,1.0,1.0,0,0.0,1,0,2,8,5,1,368,1,0,10:04:54,10:10:40,0,346.0,10,4,54
CI30,31.0,0.0,1.0,1.0,0,35.0,0,0,2,13,8,2,105,1,1,14:53:13,14:58:28,1,315.0,14,53,13
CI31,34.0,0.0,2.0,2.0,0,625.0,0,1,0,31,8,1,-1,0,-1,11:36:43,11:37:17,1,34.0,11,36,43
CI32,30.0,9.0,1.0,2.0,0,340.0,1,1,1,30,7,8,-1,0,-1,14:58:35,15:01:11,0,156.0,14,58,35
CI33,34.0,0.0,2.0,1.0,0,892.0,1,0,2,21,11,2,184,1,0,10:59:05,11:02:02,0,177.0,10,59,5
CI34,52.0,9.0,1.0,1.0,0,0.0,1,0,2,7,9,1,294,1,0,09:51:49,09:55:20,1,211.0,9,51,49
