Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,Duration,CallStartHour,CallStartMinute,CallStartSecond
CI1,48,management,single,tertiary,no,1,no,no,NA,5,may,3,-1,0,NA,15:10:12,15:21:21,no,669.0,15,10,12
CI2,32,management,single,primary,no,0,yes,no,cellular,11,may,3,-1,0,NA,15:46:58,15:49:08,no,130.0,15,46,58
CI3,56,entrepreneur,single,tertiary,no,2558,no,no,NA,19,jun,1,-1,0,NA,10:42:27,10:47:15,no,288.0,10,42,27
CI4,46,retired,single,primary,no,0,no,no,cellular,3,mar,13,-1,0,NA,09:33:25,09:38:30,yes,305.0,9,33,25
CI5,37,management,single,tertiary,no,489,yes,no,NA,2,jun,1,-1,0,NA,12:55:03,12:55:27,no,24.0,12,55,3
CI6,28,technician,divorced,tertiary,no,2,yes,no,cellular,24,jul,1,-1,0,NA,12:18:30,12:26:04,yes,454.0,12,18,30
CI7,50,entrepreneur,married,secondary,no,1679,yes,no,cellular,24,jul,2,-1,0,NA,12:50:19,13:00:23,no,604.0,12,50,19
CI8,36,student,divorced,tertiary,no,74,yes,yes,cellular,12,may,2,-1,0,NA,09:49:13,09:52:31,no,198.0,9,49,13
CI9,45,management,single,primary,no,1291,yes,no,cellular,28,aug,17,-1,0,NA,09:52:21,09:55:30,no,189.0,9,52,21
CI10,36,entrepreneur,divorced,tertiary,no,12264,no,no,cellular,12,apr,2,-1,0,NA,09:01:53,09:04:31,yes,158.0,9,1,53
CI11,34,management,divorced,tertiary,no,96,yes,no,NA,27,may,2,-1,0,NA,10:18:26,10:20:59,no,153.0,10,18,26
CI12,63,retired,single,secondary,no,2352,no,no,telephone,4,may,7,-1,0,NA,10:35:43,10:43:38,yes,475.0,10,35,43
CI13,33,management,single,tertiary,no,1221,yes,no,cellular,7,may,6,-1,0,NA,13:56:42,13:58:49,no,127.0,13,56,42
CI14,30,retired,divorced,tertiary,no,2143,yes,yes,cellular,18,aug,10,-1,0,NA,13:09:57,13:18:31,no,514.0,13,9,57
CI15,32,technician,single,tertiary,no,0,yes,no,cellular,30,apr,2,-1,0,NA,13:10:31,13:13:28,yes,177.0,13,10,31
CI16,65,services,single,primary,no,2416,no,no,cellular,17,feb,2,-1,0,NA,17:01:56,17:05:37,yes,221.0,17,1,56
CI17,31,entrepreneur,divorced,tertiary,no,208,no,no,cellular,12,aug,7,-1,0,NA,13:06:20,13:28:44,yes,1344.0,13,6,20
CI18,77,services,single,primary,no,3324,no,no,cellular,13,may,1,91,5,success,09:33:30,09:38:19,yes,289.0,9,33,30
CI19,56,services,single,primary,no,281,no,no,cellular,3,mar,2,-1,0,NA,17:26:47,17:28:23,yes,96.0,17,26,47
CI20,37,retired,single,primary,no,8564,yes,no,cellular,5,may,2,347,1,failure,15:26:06,15:29:37,no,211.0,15,26,6
CI21,71,services,single,primary,no,653,no,no,telephone,3,sep,1,189,1,success,13:40:00,13:47:51,yes,471.0,13,40,0
CI22,33,technician,single,tertiary,no,543,yes,no,cellular,7,may,2,-1,0,NA,12:58:22,13:02:26,no,244.0,12,58,22
CI23,57,entrepreneur,married,secondary,no,126,no,no,telephone,4,jun,2,-1,0,NA,14:31:44,14:34:30,yes,166.0,14,31,44
CI24,37,entrepreneur,single,primary,no,122,no,no,cellular,25,jun,2,318,3,other,11:56:42,12:01:08,yes,266.0,11,56,42
CI25,43,entrepreneur,single,primary,no,4844,yes,no,cellular,19,nov,1,-1,0,NA,13:43:30,13:50:44,no,434.0,13,43,30
CI26,55,retired,single,primary,no,2366,yes,yes,cellular,30,jul,4,-1,0,NA,12:00:06,12:01:40,no,94.0,12,0,6
CI27,49,management,single,primary,no,157,yes,no,cellular,7,jul,3,-1,0,NA,16:37:35,16:45:46,yes,491.0,16,37,35
CI28,36,management,married,primary,no,666,yes,no,cellular,11,may,1,-1,0,NA,11:25:57,11:30:42,no,285.0,11,25,57
CI29,36,housemaid,single,tertiary,no,0,yes,no,cellular,8,may,1,368,1,failure,10:04:54,10:10:40,no,346.0,10,4,54
CI30,31,technician,single,tertiary,no,35,no,no,cellular,13,aug,2,105,1,success,14:53:13,14:58:28,yes,315.0,14,53,13
CI31,34,technician,divorced,tertiary,no,625,no,yes,NA,31,aug,1,-1,0,NA,11:36:43,11:37:17,yes,34.0,11,36,43
CI32,30,entrepreneur,single,primary,no,340,yes,yes,telephone,30,jul,8,-1,0,NA,14:58:35,15:01:11,no,156.0,14,58,35
CI33,34,technician,divorced,tertiary,no,892,yes,no,cellular,21,nov,2,184,1,failure,10:59:05,11:02:02,no,177.0,10,59,5
CI34,52,entrepreneur,single,tertiary,no,0,yes,no,cellular,7,sep,1,294,1,failure,09:51:49,09:55:20,yes,211.0,9,51,49
CI35,39,retired,divorced,tertiary,no,11971,yes,no,telephone,15,may,10,179,5,failure,10:18:56,10:20:11,no,75.0,10,18,56
CI36,38,technician,single,tertiary,no,1767,yes,no,cellular,9,jul,4,239,7,success,16:59:58,17:08:01,yes,483.0,16,59,58
CI37,45,student,single,primary,no,0,yes,no,cellular,17,nov,1,-1,0,NA,12:32:41,12:34:55,no,134.0,12,32,41
CI38,27,technician,single,tertiary,no,0,yes,yes,cellular,18,may,5,-1,0,NA,15:55:35,15:58:12,no,157.0,15,55,35
CI39,58,housemaid,married,tertiary,no,462,no,no,cellular,13,nov,1,93,1,success,13:55:30,14:03:45,yes,495.0,13,55,30
CI40,58,retired,married,secondary,no,50,yes,no,NA,3,jun,4,-1,0,NA,11:20:57,11:22:46,no,109.0,11,20,57
CI41,36,entrepreneur,single,primary,no,341,no,no,cellular,12,feb,2,183,1,success,12:47:23,12:54:22,yes,419.0,12,47,23
CI42,49,management,married,primary,no,235,no,no,cellular,29,jan,1,-1,0,NA,10:41:10,10:51:36,no,626.0,10,41,10
